GRB,sigma_max,search_radius_deg,fermi_err_deg,trials_factor,p_pre,p_post
GRB141205337,nan,0.5,0.033,nan,nan,nan
GRB150101270,nan,0.5,0.0008,nan,nan,nan
GRB150101641,3.7412875770641416,0.5,0.04,1.0,9.153994204202931e-05,9.153994204202931e-05
GRB150110923,3.2139603853238743,0.5,0.05,1.0,0.0006545886705162651,0.0006545886705162651
GRB150120123,2.675893127492569,0.5,0.001,1.0,0.0037265203537681924,0.0037265203537681924
GRB150811849,3.479453953110454,0.99,0.99,3.9204,0.0002512183525271716,0.0009845152060695694
GRB150819440,3.262319697282301,0.5,0.5,1.0,0.0005525222183607736,0.0005525222183607736
GRB150922234,nan,0.5,0.18,nan,nan,nan
GRB151228129,nan,0.5,0.05,nan,nan,nan
GRB151229285,3.294305649092237,0.5,0.0006,1.0,0.0004933257420129955,0.0004933257420129955
GRB160612842,0.0,0.5,0.05,1.0,0.5,0.5
GRB160624477,3.1471443090589784,0.5,0.1,1.0,0.00082436783788431,0.00082436783788431
GRB160714097,3.5305915757220023,0.5,0.05,1.0,0.00020731572773324825,0.00020731572773324825
GRB160726065,nan,0.5,0.05,nan,nan,nan
GRB160806584,3.298012304971823,0.54,0.54,1.1664,0.0004868593359177442,0.0005678497236534241
GRB160821937,3.2466424957300974,0.5,0.05,1.0,0.0005838748713922204,0.0005838748713922204
GRB160822672,3.2211800372731663,0.54,0.54,1.1664,0.0006383196165933303,0.0007444964528181552
GRB170206453,3.7047664608639805,0.85,0.85,2.8899999999999997,0.00010579279170930267,0.0003057106027741785
GRB170222209,nan,0.8,0.8,nan,nan,nan
GRB170318644,3.207013617127228,0.5,0.002,1.0,0.0006706032353653857,0.0006706032353653857
GRB170325331,nan,0.5,0.03,nan,nan,nan
GRB170403583,3.7000165492790873,0.7,0.7,1.9599999999999997,0.00010779270388538986,0.0002112627681932766
GRB170708046,3.327570650665108,0.5,0.5,1.0,0.00043803385825147423,0.00043803385825147423
GRB170803729,3.1086632527606395,0.5,0.001,1.0,0.0009396789323967703,0.0009396789323967703
GRB170816599,4.019704836779615,0.5,0.5,1.0,2.9135549777903336e-05,2.9135549777903336e-05
GRB170817529,3.762024994545837,0.5,0.0,1.0,8.427159976143184e-05,8.427159976143184e-05
GRB170826369,3.916249892421207,0.856,0.856,2.9309439999999998,4.496851308177785e-05,0.000131794471469604
GRB171007498,3.2667579323682947,0.5,0.005,1.0,0.0005439332843703015,0.0005439332843703015
GRB180204109,3.461841192563229,0.5,0.001,1.0,0.00026824680957249214,0.00026824680957249214
GRB180402406,2.4010050423596554,0.5,0.05,1.0,0.008175055600125769,0.008175055600125769
GRB180418281,3.9710178908267904,0.5,0.001,1.0,3.578310204810364e-05,3.578310204810364e-05
GRB180715755,3.2939096548045947,0.5,0.05,1.0,0.0004940212510360364,0.0004940212510360364
GRB180718082,3.8873350656463472,0.5,0.05,1.0,5.067540418390859e-05,5.067540418390859e-05
GRB180805543,2.516779847428751,0.5,0.05,1.0,0.005921640282307572,0.005921640282307572
GRB181125371,3.301654063408471,0.5,0.05,1.0,0.00048058266745210076,0.00048058266745210076
GRB190427190,3.2471883448954832,0.5,0.05,1.0,0.000582756163450715,0.000582756163450715
GRB190515190,3.339496858164214,0.907,0.907,3.2905960000000003,0.00041965150174838595,0.0013802399746768446
GRB191031891,nan,0.5,0.05,nan,nan,nan
GRB200415367,2.684170047807995,0.5,0.12,1.0,0.0036355056844459277,0.0036355056844459277
GRB200605762,2.217031976084866,0.6,0.6,1.44,0.013310453264260946,0.01911078564278612
GRB200623138,3.4367690877683112,0.5,0.07,1.0,0.00029434862958832575,0.00029434862958832575
GRB201008443,3.7360114816813934,0.5,0.0013,1.0,9.348106754225594e-05,9.348106754225594e-05
GRB201214672,4.71596079554826,0.5,0.0333,1.0,1.2028637962346878e-06,1.2028637962346878e-06
GRB201221963,nan,0.5,0.001,nan,nan,nan
GRB210323918,2.991033249701033,0.5,0.005,1.0,0.0013901760897189197,0.0013901760897189197
GRB210618072,3.34000184471015,0.5,0.05,1.0,0.00041888916698928913,0.00041888916698928913
GRB210827416,2.655019891889476,0.5,0.0666,1.0,0.003965186597515324,0.003965186597515324
GRB211024065,3.359601148315006,0.5,0.1,1.0,0.0003902753608185927,0.0003902753608185927
GRB220412713,3.269023077991941,0.5,0.01,1.0,0.0005395974949913285,0.0005395974949913285
GRB220418720,3.2751253581993582,0.5,0.05,1.0,0.0005280754809785515,0.0005280754809785515
GRB220511571,3.7788369769107395,0.5,0.01,1.0,7.878126438931599e-05,7.878126438931599e-05
GRB220617772,3.3009148560821537,0.5,0.09,1.0,0.00048185061638494897,0.00048185061638494897
GRB221022815,3.3091897937591606,0.5,0.08,1.0,0.0004678319323682123,0.0004678319323682123
GRB221120895,3.6284289251232638,0.5,0.01,1.0,0.00014257561418518083,0.00014257561418518083
GRB230228244,4.090851463288011,0.5,0.0003,1.0,2.1489617217707035e-05,2.1489617217707035e-05
GRB230512269,3.315744658096859,0.5,0.3,1.0,0.00045699649003638765,0.00045699649003638765
GRB230812790,3.0470869143053756,0.5,0.13,1.0,0.0011553544281315276,0.0011553544281315276
