GRB,transit,seed,ra_max,dec_max,max_sigma,region_size_deg,trials_factor,p_pre,p_post,sigma_post
GRB150101641,transit_1,GRB150101641_transit_1FINAL_C0,187.91015624999997,-10.844900729704278,0.0,0.15,1.0,0.5,0.5,0.0
GRB150101641,transit_2,GRB150101641_transit_2FINAL_C0,187.91015624999997,-10.844900729704278,0.0,0.15,1.0,0.5,0.5,0.0
GRB150110923,transit_1,GRB150110923_transit_1FINAL_C0,289.3359375,32.66414051625443,0.0,0.15,1.0,0.5,0.5,0.0
GRB150819440,transit_2,GRB150819440_transit_2FINAL_C0,59.370117187499986,39.838439976999084,0.0,0.15,1.0,0.5,0.5,0.0
GRB151229285,transit_1,GRB151229285_transit_1FINAL_C0,329.3701171875,-20.582914410065612,0.0,0.15,1.0,0.5,0.5,0.0
GRB151229285,transit_2,GRB151229285_transit_2FINAL_C0,329.28222656249994,-20.822175713668898,0.0,0.15,1.0,0.5,0.5,0.0
GRB160612842,transit_1,GRB160612842_transit_1FINAL_C0,348.310546875,-25.241356531125817,0.0,0.15,1.0,0.5,0.5,0.0
GRB160612842,transit_2,GRB160612842_transit_2FINAL_C0,348.310546875,-25.241356531125817,0.0,0.15,1.0,0.5,0.5,0.0
GRB160624477,transit_1,GRB160624477_transit_1FINAL_C0,330.3369140625,29.57020098208185,0.0,0.15,1.0,0.5,0.5,0.0
GRB160624477,transit_2,GRB160624477_transit_2FINAL_C0,330.29296874999994,29.698947261858855,0.0,0.15,1.0,0.5,0.5,0.0
GRB160714097,transit_2,GRB160714097_transit_2FINAL_C0,234.39823008849555,63.96434895198813,0.0,0.15,1.0,0.5,0.5,0.0
GRB160821937,transit_1,GRB160821937_transit_1FINAL_C0,279.8909395973155,62.50856820035665,0.0,0.15,1.0,0.5,0.5,0.0
GRB170206453,transit_2,GRB170206453_transit_2FINAL_C0,212.78320312499997,14.593118211222858,0.0,0.15,1.0,0.5,0.5,0.0
GRB170318644,transit_1,GRB170318644_transit_1FINAL_C0,284.2822265625,6.4294184625233015,0.0,0.15,1.0,0.5,0.5,0.0
GRB170318644,transit_2,GRB170318644_transit_2FINAL_C0,284.2822265625,6.4294184625233015,0.0,0.15,1.0,0.5,0.5,0.0
GRB170403583,transit_1,GRB170403583_transit_1FINAL_C0,259.27734375,18.485055379394268,0.0,0.15,1.0,0.5,0.5,0.0
GRB170403583,transit_2,GRB170403583_transit_2FINAL_C0,259.27734375,18.485055379394268,0.0,0.15,1.0,0.5,0.5,0.0
GRB170708046,transit_1,GRB170708046_transit_1FINAL_C0,335.74218749999994,19.9070223107381,0.0,0.15,1.0,0.5,0.5,0.0
GRB170708046,transit_2,GRB170708046_transit_2FINAL_C0,335.74218749999994,19.9070223107381,0.0,0.15,1.0,0.5,0.5,0.0
GRB170803729,transit_1,GRB170803729_transit_1FINAL_C0,174.9462890625,-16.179400430907307,0.0,0.15,1.0,0.5,0.5,0.0
GRB170803729,transit_2,GRB170803729_transit_2FINAL_C0,174.9462890625,-16.179400430907307,0.0,0.15,1.0,0.5,0.5,0.0
GRB170816599,transit_1,GRB170816599_transit_1FINAL_C0,350.85937499999994,12.979909078618064,0.0,0.15,1.0,0.5,0.5,0.0
GRB170816599,transit_2,GRB170816599_transit_2FINAL_C0,350.771484375,12.979909078618064,0.0,0.15,1.0,0.5,0.5,0.0
GRB170817529,transit_1,GRB170817529_transit_1FINAL_C0,197.31445312499997,-23.358582934182337,0.0,0.15,1.0,0.5,0.5,0.0
GRB170817529,transit_2,GRB170817529_transit_2FINAL_C0,197.44628906249997,-23.236742534068114,0.0,0.15,1.0,0.5,0.5,0.0
GRB170826369,transit_1,GRB170826369_transit_1FINAL_C0,64.248046875,21.181783147580887,0.0,0.15,1.0,0.5,0.5,0.0
GRB170826369,transit_2,GRB170826369_transit_2FINAL_C0,64.3359375,20.941948709223198,0.5891243577473981,0.15,1.0,0.2778889273923286,0.2778889273923286,0.5891243577473982
GRB171007498,transit_2,GRB171007498_transit_2FINAL_C0,135.44955044955046,42.95881372269358,0.0,0.15,1.0,0.5,0.5,0.0
GRB180204109,transit_1,GRB180204109_transit_1FINAL_C0,330.02929687499994,30.908722515296432,0.0,0.15,1.0,0.5,0.5,0.0
GRB180204109,transit_2,GRB180204109_transit_2FINAL_C0,330.0732421875,30.952208526769944,0.0,0.15,1.0,0.5,0.5,0.0
GRB180402406,transit_2,GRB180402406_transit_2FINAL_C0,251.89453124999997,-14.824513114408646,0.0,0.15,1.0,0.5,0.5,0.0
GRB180418281,transit_1,GRB180418281_transit_1FINAL_C0,169.98046875,24.994170086846353,0.16307720123854047,0.15,1.0,0.4352288251300852,0.4352288251300852,0.16307720123854053
GRB180418281,transit_2,GRB180418281_transit_2FINAL_C0,170.2001953125,24.870763394735704,0.3630145370936438,0.15,1.0,0.3582970124968231,0.3582970124968231,0.36301453709364373
GRB180715755,transit_1,GRB180715755_transit_1FINAL_C0,235.10742187499994,-0.783365141280072,0.0,0.15,1.0,0.5,0.5,0.0
GRB180715755,transit_2,GRB180715755_transit_2FINAL_C0,235.10742187499994,-0.783365141280072,0.0,0.15,1.0,0.5,0.5,0.0
GRB180718082,transit_1,GRB180718082_transit_1FINAL_C0,335.9619140625,2.910803250542216,0.0,0.15,1.0,0.5,0.5,0.0
GRB180718082,transit_2,GRB180718082_transit_2FINAL_C0,335.8740234375,2.7614124684008345,0.581400167359287,0.15,1.0,0.2804853923482049,0.2804853923482049,0.5814001673592871
GRB180805543,transit_1,GRB180805543_transit_1FINAL_C0,25.83984375,-17.387231192738568,0.40488867514331867,0.15,1.0,0.3427796715908116,0.3427796715908116,0.4048886751433186
GRB180805543,transit_2,GRB180805543_transit_2FINAL_C0,25.927734374999996,-17.465423903178532,0.0,0.15,1.0,0.5,0.5,0.0
GRB181125371,transit_1,GRB181125371_transit_1FINAL_C0,268.28613281249994,-2.6867241856916024,0.04908114939324069,0.15,1.0,0.48042731295248287,0.48042731295248287,0.04908114939324078
GRB181125371,transit_2,GRB181125371_transit_2FINAL_C0,268.505859375,-2.500023186828841,0.0,0.15,1.0,0.5,0.5,0.0
GRB190427190,transit_1,GRB190427190_transit_1FINAL_C0,280.1513671875,40.42389940146197,0.0,0.15,1.0,0.5,0.5,0.0
GRB190427190,transit_2,GRB190427190_transit_2FINAL_C0,280.1513671875,40.42389940146197,0.0,0.15,1.0,0.5,0.5,0.0
GRB190515190,transit_1,GRB190515190_transit_1FINAL_C0,137.5927734375,29.398794069247536,0.0,0.15,1.0,0.5,0.5,0.0
GRB190515190,transit_2,GRB190515190_transit_2FINAL_C0,137.5927734375,29.398794069247536,0.0,0.15,1.0,0.5,0.5,0.0
GRB200605762,transit_2,GRB200605762_transit_2FINAL_C0,95.75956937799043,51.06204088458254,0.0,0.15,1.0,0.5,0.5,0.0
