GRB,transit,seed,ra_max,dec_max,max_sigma,region_size_deg,trials_factor,p_pre,p_post,sigma_post
GRB150101641,transit_1,GRB150101641_transit_1FINAL_C0_negSig,187.998046875,-11.072869793448007,0.011124766986570325,0.15,1.0,0.49556195163210204,0.49556195163210204,0.011124766986570335
GRB150101641,transit_2,GRB150101641_transit_2FINAL_C0_negSig,187.91015624999997,-10.996860565588975,-0.036048517940746115,0.15,1.0,0.5143781638247371,0.5143781638247371,-0.0360485179407462
GRB150110923,transit_1,GRB150110923_transit_1FINAL_C0_negSig,289.37988281249994,32.619841939292094,-0.6218392767660552,0.15,1.0,0.7329762215130537,0.7329762215130537,-0.6218392767660553
GRB150819440,transit_2,GRB150819440_transit_2FINAL_C0_negSig,59.150390624999986,40.08176916940402,0.011880753690360462,0.5,11.111111111111112,0.4952603765316076,0.9994979477910726,-3.289374170479051
GRB151229285,transit_1,GRB151229285_transit_1FINAL_C0_negSig,329.50195312499994,-20.782272562134708,-0.005245049195814863,0.15,1.0,0.5020924622928633,0.5020924622928633,-0.005245049195814687
GRB151229285,transit_2,GRB151229285_transit_2FINAL_C0_negSig,329.326171875,-20.862089436824277,0.00780394750724887,0.15,1.0,0.4968867069861097,0.4968867069861097,0.007803947507248914
GRB160612842,transit_1,GRB160612842_transit_1FINAL_C0_negSig,348.310546875,-25.48904676283783,-1.0607393746465412,0.15,1.0,0.8555958197105635,0.8555958197105635,-1.0607393746465412
GRB160612842,transit_2,GRB160612842_transit_2FINAL_C0_negSig,348.48632812499994,-25.40642689987743,0.01093275866235599,0.15,1.0,0.4956385472122624,0.4956385472122624,0.010932758662355997
GRB160624477,transit_1,GRB160624477_transit_1FINAL_C0_negSig,330.1171875,29.52732204890411,-0.0034624907221783843,0.15,1.0,0.5013813311844806,0.5013813311844806,-0.003462490722178485
GRB160624477,transit_2,GRB160624477_transit_2FINAL_C0_negSig,330.29296874999994,29.698947261858855,-0.011817608418514607,0.15,1.0,0.5047144339180573,0.5047144339180573,-0.011817608418514642
GRB160714097,transit_2,GRB160714097_transit_2FINAL_C0_negSig,234.36507936507937,63.870559183130894,0.10237327935604525,0.15,1.0,0.4592301961029489,0.4592301961029489,0.10237327935604518
GRB160821937,transit_1,GRB160821937_transit_1FINAL_C0_negSig,280.125,62.32040082727501,-0.012477741137130448,0.15,1.0,0.5049777693350141,0.5049777693350141,-0.01247774113713049
GRB170206453,transit_2,GRB170206453_transit_2FINAL_C0_negSig,212.34375,13.823531929390626,0.0001789128062582908,0.85,32.111111111111114,0.4999286241174591,0.9999999997834377,-6.241597381703873
GRB170318644,transit_1,GRB170318644_transit_1FINAL_C0_negSig,284.4140625,6.241762590721905,-1.5947984021811852,0.15,1.0,0.9446213377580351,0.9446213377580351,-1.5947984021811856
GRB170318644,transit_2,GRB170318644_transit_2FINAL_C0_negSig,284.326171875,6.391881812232143,-0.008511901777978568,0.15,1.0,0.5033957165011346,0.5033957165011346,-0.008511901777978627
GRB170403583,transit_1,GRB170403583_transit_1FINAL_C0_negSig,258.92578124999994,18.878822595819415,-0.011089019523363886,0.7,21.777777777777782,0.5044237880730327,0.9999997708165934,-5.042967631093044
GRB170403583,transit_2,GRB170403583_transit_2FINAL_C0_negSig,259.7607421875,17.97450376105759,-0.0010628878239366563,0.7,21.777777777777782,0.5004240308124521,0.9999997269694106,-5.009378391440059
GRB170708046,transit_1,GRB170708046_transit_1FINAL_C0_negSig,335.7861328125,19.708783530475984,0.025085452221209552,0.5,11.111111111111112,0.48999340198882924,0.9994365671518438,-3.2567728517250423
GRB170708046,transit_2,GRB170708046_transit_2FINAL_C0_negSig,336.13769531249994,19.629556913945436,0.001598045782327213,0.5,11.111111111111112,0.4993624722427603,0.9995414664430641,-3.3148061048564545
GRB170803729,transit_1,GRB170803729_transit_1FINAL_C0_negSig,174.81445312499997,-16.295955656116732,0.2295080488330682,0.15,1.0,0.4092370327550874,0.4092370327550874,0.2295080488330681
GRB170803729,transit_2,GRB170803729_transit_2FINAL_C0_negSig,174.81445312499997,-16.21824450365564,-2.3007662490530087,0.15,1.0,0.9892975764266285,0.9892975764266285,-2.300766249053009
GRB170816599,transit_1,GRB170816599_transit_1FINAL_C0_negSig,350.8154296875,12.865095405162862,0.0021468402077784877,0.5,11.111111111111112,0.499143535329748,0.9995392334643198,-3.31344779976173
GRB170816599,transit_2,GRB170816599_transit_2FINAL_C0_negSig,350.419921875,12.826835878578208,-0.020004138468756632,0.5,11.111111111111112,0.5079799643968278,0.9996219175363429,-3.3683610818993985
GRB170817529,transit_1,GRB170817529_transit_1FINAL_C0_negSig,197.490234375,-23.439872037468348,1.9680091765567336,0.15,1.0,0.024533490933581703,0.024533490933581703,1.968009176556734
GRB170817529,transit_2,GRB170817529_transit_2FINAL_C0_negSig,197.40234375,-23.27734360921562,0.05743433305417549,0.15,1.0,0.4770996071539143,0.4770996071539143,0.057434333054175474
GRB170826369,transit_1,GRB170826369_transit_1FINAL_C0_negSig,63.6328125,21.502169603872787,0.01466686591951205,0.856,32.56604444444445,0.4941489768401951,0.9999999997702858,-6.232370773399066
