GRB,transit,seed,ra_max,dec_max,max_sigma,region_size_deg,trials_factor,p_pre,p_post,sigma_post
GRB150101641,transit_1,GRB150101641_transit_1FINAL_C0,187.82226562499997,-10.389479515084446,0.0,0.6,1.0,0.5,0.5,0.0
GRB150101641,transit_2,GRB150101641_transit_2FINAL_C0,187.82226562499997,-10.389479515084446,0.0,0.6,1.0,0.5,0.5,0.0
GRB150110923,transit_1,GRB150110923_transit_1FINAL_C0,289.24804687499994,33.10834440391287,0.0,0.6,1.0,0.5,0.5,0.0
GRB150819440,transit_2,GRB150819440_transit_2FINAL_C0,59.23828124999999,40.27706025140256,0.0,0.6,1.0,0.5,0.5,0.0
GRB151229285,transit_1,GRB151229285_transit_1FINAL_C0,329.326171875,-20.145237419392274,0.0,0.6,1.0,0.5,0.5,0.0
GRB151229285,transit_2,GRB151229285_transit_2FINAL_C0,329.326171875,-20.145237419392274,0.0,0.6,1.0,0.5,0.5,0.0
GRB160612842,transit_1,GRB160612842_transit_1FINAL_C0,348.134765625,-25.076510065515265,0.0,0.6,1.0,0.5,0.5,0.0
GRB160612842,transit_2,GRB160612842_transit_2FINAL_C0,348.35449218749994,-24.788560709502732,0.0,0.6,1.0,0.5,0.5,0.0
GRB160624477,transit_1,GRB160624477_transit_1FINAL_C0,329.8095703125,30.086182594304205,0.0,0.6,1.0,0.5,0.5,0.0
GRB160624477,transit_2,GRB160624477_transit_2FINAL_C0,330.77636718749994,29.827858759990065,0.0,0.6,1.0,0.5,0.5,0.0
GRB160714097,transit_2,GRB160714097_transit_2FINAL_C0,233.9838129496403,64.38618437774913,0.0,0.6,1.0,0.5,0.5,0.0
GRB160821937,transit_1,GRB160821937_transit_1FINAL_C0,280.0597269624573,62.97865739355592,0.0,0.6,1.0,0.5,0.5,0.0
GRB170206453,transit_2,GRB170206453_transit_2FINAL_C0,212.958984375,15.28805032494148,0.0,0.85,2.0069444444444446,0.5,0.7512004889139117,-0.6782723570792776
GRB170318644,transit_1,GRB170318644_transit_1FINAL_C0,284.1943359375,6.880079227870638,0.0,0.6,1.0,0.5,0.5,0.0
